Crop,N,P,K,pH,rainfall,temperature
ladyfinger,80,10,40,6.515243203578402,910.2726605440038,29.043636799740053
cardamom,75,75,150,4.997394317640031,2718.6297820460754,27.552494146420482
drumstick,40,20,10,6.572962949031522,882.6134375637143,27.661020856531472
sweetpotato,90,20,120,4.94,579.75,34.01
soyabean,20,60,20,5.42,1011.49,30.43
rice,80,40,40,5.64,516.68,27.86666667
potato,180,60,90,4.976717983234104,1151.1847932383812,29.29800119763355
coriander,10,20,20,6.68,240.1,10.38
soyabean,20,60,20,5.62,579.75,34.01
ladyfinger,80,10,40,6.610067415122364,1194.7211044966548,28.67327844724441
jute,80,40,40,5.488879006599987,1130.7268898760872,27.876522868755703
grapes,20,125,200,3.934017591672406,547.5276069252723,28.66001399629442
soyabean,20,60,20,5.637906141515674,752.0980126923143,26.86930333996826
maize,80,40,20,5.38,1151.02,28.03333333
jowar,80,40,40,5.68,73.47,23.562
cabbage,100,65,70,6.392135750528162,1362.8119219683028,26.033449231683797
maize,80,40,20,5.5,1145.22,28.5
sunflower,50,60,30,5.34,840.46,33.58333333
radish,25,100,50,5.886076662130168,1374.1799061697063,26.243946430769686
potato,180,60,90,4.835239458086332,185.72247886697855,23.568266051361615
garlic,50,10,60,5.611900714176194,1180.8880878900297,28.09009302295323
jowar,80,40,40,5.439343131456467,92.01392110986147,23.597489425533915
grapes,20,125,200,3.8759524872957343,1000.7571212983017,28.252610527708818
coriander,10,20,20,6.645818725441379,1031.780031951649,29.52978183245327
orange,20,10,10,3.876070024197887,826.6848251261572,28.74197167946994
tomato,100,40,90,5.926968480357104,833.9185919102058,27.396313284488464
pineapple,160,40,120,6.3203785037151325,2255.042014775176,23.72615117980566
drumstick,40,20,10,6.437111565708475,886.725783403748,27.651881681496445
bottlegourd,100,50,50,6.45228356354875,1012.1109042204755,28.09921082358697
cauliflower,80,70,50,6.654737885041055,1363.854770096389,26.142684776773727
maize,80,40,20,5.6,1145.22,28.5
drumstick,40,20,10,6.359961406830657,882.6886089232324,27.641632367565578
banana,100,75,50,6.4137631969397235,1956.695242471485,23.74817329265295
orange,20,10,10,4.158044444106408,2227.135174873843,24.165208975258196
jute,80,40,40,5.3428524634774845,706.5222756434893,33.256631990587316
radish,25,100,50,6.10548258986819,907.8436473724727,27.739452189578262
brinjal,80,15,40,6.61176515450074,859.1792829709239,28.84528294221609
brinjal,80,15,40,6.482532415565579,1111.6705733188755,28.443001248744086
coriander,10,20,20,6.42,556.2,28.54545455
coriander,10,20,20,6.524534053497778,1039.3750590498817,28.68637057799009
pumpkin,80,50,30,5.489137879500736,887.1535,27.62454545
cardamom,75,75,150,5.049957292761679,1963.7078149084475,22.870039804341452
cotton,120,40,20,5.37531287262852,542.2279695163124,33.75419610311929
coriander,10,20,20,6.343229257158232,1030.896162384361,28.677737873713678
bittergourd,60,10,20,6.662067633076518,1418.1376527904358,26.070694409205064
potato,180,60,90,4.84,1350.025,26.01818182
soyabean,20,60,20,5.546514830193899,1049.5040384721556,30.373897970826857
garlic,50,10,60,5.452306486467596,1374.8112177925116,26.251168206821347
tomato,100,40,90,5.816674394784345,1124.0873846303232,28.461006828037444
banana,100,75,50,6.632750695111272,1099.8790862195326,28.732099225732693
jackfruit,75,40,50,5.079453308458629,1090.0159569736861,27.708712279137316
jackfruit,75,40,50,4.843181449392622,978.707438696983,27.578207763649097
cotton,120,40,20,5.643087537108822,495.7429585115599,33.77740167179682
mango,20,20,30,4.8949669854772795,871.246705317738,27.511075137042027
soyabean,20,60,20,5.457814399743206,1087.3940280223644,31.001334350999205
brinjal,80,15,40,6.511689636732693,1078.4479814962294,28.318903096087684
cardamom,75,75,150,5.002981459017572,2748.553064459962,27.947283948526135
drumstick,40,20,10,6.402071376064552,970.4269386088163,27.649771594819022
radish,25,100,50,6.1219015587772665,948.065919268623,27.592872165256313
blackpepper,100,60,50,5.099990485587028,2297.008241211953,23.934326626333103
onion,120,60,65,6.1057799317203925,1614.2411224420669,27.22277352304931
soyabean,20,60,20,5.572726059578864,681.1813011798013,26.236730077856173
cabbage,100,65,70,6.428095865426148,1099.317820555951,28.48142018194044
radish,25,100,50,6.089039870965378,1281.8079937175894,25.985719619954743
sunflower,50,60,30,5.46,297.66,29.56666667
cabbage,100,65,70,6.545029347981883,1050.2684726241603,27.967623285410852
jute,80,40,40,5.362212326010221,871.1188109800563,33.750894085225696
drumstick,40,20,10,6.603222239278477,929.4061246973769,27.68341165692277
cucumber,60,60,85,6.598670818074409,941.6279142144896,28.88224483810608
potato,180,60,90,4.84,689.88,29.03727273
bottlegourd,100,50,50,6.316411325406571,1074.4049973079045,27.928482448073623
banana,100,75,50,6.449059873928731,778.3706905008318,30.088343472545173
mango,20,20,30,5.179193608994186,1552.1834217125688,22.69336275402503
banana,100,75,50,6.599149830669398,930.2617047664858,29.094686986368963
jackfruit,75,40,50,5.0179257813781835,2875.88139050646,27.939697933398993
pumpkin,80,50,30,5.585756914575102,881.8465,27.639203047580942
papaya,50,50,50,5.8110620725225415,2877.6185309475995,28.412557637024825
maize,80,40,20,5.5,1145.22,28.5
pineapple,160,40,120,6.332661695002961,2822.364264125425,28.19098029053312
cauliflower,80,70,50,6.592208945356954,1117.3879343846293,28.739880144089735
rice,80,40,40,5.64,1712.66,11.2
blackpepper,100,60,50,5.063203441381727,2750.9169515191697,28.287651498403903
radish,25,100,50,6.102349399176199,860.3450938302939,27.544791153439533
jute,80,40,40,5.4,840.46,33.58333333
garlic,50,10,60,5.449627674319042,1054.9038369145826,28.062042083269723
pineapple,160,40,120,6.626377979518121,2296.1269098180205,23.677541106457877
bittergourd,60,10,20,6.551264250933036,2845.881440989134,27.817950221555105
bottlegourd,100,50,50,6.324562087225173,1022.3827104331207,28.24126081165939
maize,80,40,20,5.52,34.81,34.66666667
jackfruit,75,40,50,4.839242481790906,804.1671994699295,27.59861432881134
radish,25,100,50,6.075726975737528,871.6952816639736,27.686926939292405
orange,20,10,10,4.034433240595639,2073.2215213217173,23.506441458642783
maize,80,40,20,5.32,840.46,33.58333333
cucumber,60,60,85,6.419098451021773,892.7983909772161,27.69041940099062
ladyfinger,80,10,40,6.342925045452796,1030.800638858501,28.591604495794527
grapes,20,125,200,3.9401049233427963,546.080308464581,28.74403665666767
mango,20,20,30,5.112269627527665,1592.0628612893672,22.69336275402503
potato,180,60,90,4.842546476933179,893.77951908603,28.561743769799822
maize,80,40,20,5.68,510.05,33.37333333
cotton,120,40,20,5.479261109587593,197.5162696495758,27.076175726461827
garlic,50,10,60,5.339253517419962,1496.5065472074114,27.29267455369984
garlic,50,10,60,5.447860520619832,679.7289436347245,28.39482230793475
jute,80,40,40,5.5106263788625816,1193.48073327597,29.079706949980913
cabbage,100,65,70,6.458228710040047,1126.9658920268269,28.899686024868
grapes,20,125,200,4.124679228521118,1001.1649066180779,28.706166783363635
pineapple,160,40,120,6.540131335358361,1519.7464301721266,25.471004131480125
pineapple,160,40,120,6.521212792850989,2328.29410911979,23.517106698683037
banana,100,75,50,6.5910159326433515,2137.5600101031255,24.32858966284074
radish,25,100,50,5.926053697819378,1326.51372934808,25.933275080421737
grapes,20,125,200,4.099939468299377,1123.3935206218055,28.005667116110384
drumstick,40,20,10,6.613451498465695,845.1308060993902,27.641632367565578
blackpepper,100,60,50,4.965224692537961,1541.8139535352882,22.352610016212452
ladyfinger,80,10,40,6.345332909393012,1048.1553113340076,28.64149237302803
blackpepper,100,60,50,5.0432322831622125,2375.2564030525764,23.66701674036871
jackfruit,75,40,50,4.921766085700533,2729.0575141407867,27.865812832301724
cucumber,60,60,85,6.405664379070379,1032.263121873409,28.16311301394228
blackpepper,100,60,50,4.850473795230886,1020.9640747903609,27.88318895255055
garlic,50,10,60,5.618635735693225,732.0215634177026,28.63221323922563
tomato,100,40,90,6.026521700132837,1102.2881560505116,28.325884162622067
maize,80,40,20,5.44,157.31,25.83333333
onion,120,60,65,6.0400352218432385,0.0,35.05908834680738
tomato,100,40,90,6.1474391286125405,1569.1371438338608,23.07937394206884
soyabean,20,60,20,5.409369989717718,1297.2067185879182,22.354725305222296
maize,80,40,20,5.662583130176409,665.3353875335613,27.153795842295587
blackpepper,100,60,50,5.14337601370071,879.3458414055808,27.91337190981235
maize,80,40,20,5.5,579.75,34.01
jute,80,40,40,5.405102752698158,1164.9013715527017,28.41298835762276
maize,80,40,20,5.4,1246.715,22.6
cotton,120,40,20,5.477655497458848,846.4988715475573,27.440338133325923
cotton,120,40,20,5.58,235.4251,26.64666667
jute,80,40,40,5.366876313907005,1137.853107924186,28.32561647299904
jowar,80,40,40,5.341601928778358,777.1453805895595,27.81550141849033
jackfruit,75,40,50,5.054457880595659,804.1671994699295,27.694136656368727
cauliflower,80,70,50,6.58276465899875,1104.2233727243565,28.528237209502297
potato,180,60,90,4.94,1026.64,29.18636364
jute,80,40,40,5.581389736784959,1163.90376499593,28.720409633171606
garlic,50,10,60,5.409781579406487,947.3014335208862,29.26323774847815
orange,20,10,10,4.038056697176405,2227.135174873843,23.984265502840227
sunflower,50,60,30,5.667236573969708,775.0116916920398,33.99733442683746
maize,80,40,20,5.48,579.75,34.01
pumpkin,80,50,30,5.512710278246427,882.0027425623838,27.68454545
pumpkin,80,50,30,5.594493319135493,883.7668642316738,27.68454545
tomato,100,40,90,6.05008980846414,1072.3758153500596,28.836015208592997
bottlegourd,100,50,50,6.485204494991783,949.9301793522075,28.80700468018123
potato,180,60,90,4.86,122.42,18.58
cotton,120,40,20,5.422502733667069,382.6605302569056,34.65432246684593
sweetpotato,90,20,120,4.970799012361511,596.1147936683976,28.20971871374953
mango,20,20,30,5.026975428403434,1391.6717500279742,22.69336275402503
drumstick,40,20,10,6.562448228566248,2634.416148326048,27.89242849638135
rice,80,40,40,5.42,199.2125,21.3
garlic,50,10,60,5.433046967753931,671.4360151800214,28.11427882147564
mango,20,20,30,5.0909157628045945,654.2707232737014,27.84479010315968
pineapple,160,40,120,6.6026565706250855,1387.4248760883636,26.157633307697807
cauliflower,80,70,50,6.4150603875799685,1177.962284723172,28.655933759699185
blackpepper,100,60,50,5.0478655668292935,1621.3684200118996,23.298416885271706
radish,25,100,50,5.947526009240189,1291.4077773554127,25.945977817934907
pineapple,160,40,120,6.6898966971957625,977.4493692527489,27.924227738964852
brinjal,80,15,40,6.321088541944831,855.8444905547417,27.524126183752955
cotton,120,40,20,5.377598292399728,525.9512771649797,33.2013285880017
tomato,100,40,90,6.177786928837854,1021.1583482952689,28.431111287864287
cauliflower,80,70,50,6.559452191296925,1101.4496385617595,28.633386432809978
bottlegourd,100,50,50,6.533417278907475,907.4436389144333,27.598872470069704
brinjal,80,15,40,6.508655283676409,1011.2709877328148,28.433020447319077
cucumber,60,60,85,6.483299212979488,879.7524416790811,27.75855197132205
papaya,50,50,50,6.07783963193775,656.7740402767379,27.611291677447674
sunflower,50,60,30,5.659173616399919,1154.598233274416,22.04881823417499
garlic,50,10,60,5.525453149550071,55.0814199411776,23.62107757401271
pumpkin,80,50,30,5.562431754694199,881.8465,27.62454545
sweetpotato,90,20,120,5.079106113111995,632.3976558333108,29.075008524469677
blackpepper,100,60,50,4.953834589857402,3017.2791031987845,27.834951772131173
cabbage,100,65,70,6.509114418948257,1106.5339659444458,28.700981505632807
radish,25,100,50,5.916580782643615,1374.1799061697063,26.16409658988057
coriander,10,20,20,6.46,1111.68,28.64818182
mango,20,20,30,5.004643675441023,1829.6898563429477,23.418924695437543
ladyfinger,80,10,40,6.348605234119754,1055.6895386899357,29.06502227006106
radish,25,100,50,6.127433678827539,926.0898938673664,27.739452189578262
tomato,100,40,90,6.093399657922685,699.6487628334766,26.13377860127998
sunflower,50,60,30,5.56,770.44,28.68
tomato,100,40,90,5.921020674327081,1093.0301903000163,28.821177630276686
cauliflower,80,70,50,6.320394469709825,892.531876613266,27.691203219441242
cabbage,100,65,70,6.355772480480096,873.8784358513071,27.83442777772195
jute,80,40,40,5.676332199906996,18.20394683560535,15.876988550083338
brinjal,80,15,40,6.505987738481438,1101.6478107162031,28.514935437342867
sunflower,50,60,30,5.487546533336716,744.5012681966674,25.93277865811759
soyabean,20,60,20,5.585593106876906,554.7516194721882,33.36775498887036
mango,20,20,30,5.113223111558452,402.0691144642304,28.9153040550543
pumpkin,80,50,30,5.584368221078929,881.8465,27.655132688047768
blackpepper,100,60,50,4.8340179841912825,2820.8637364670058,27.878777286222135
grapes,20,125,200,3.883245850750071,902.4149542336717,28.244462979252628
drumstick,40,20,10,6.612593730820002,2915.939286330289,27.905950128191602
cucumber,60,60,85,6.480203619799563,927.5170789030848,29.060185015049086
soyabean,20,60,20,5.503366180005208,1903.7550255053163,19.234969740209685
brinjal,80,15,40,6.450733992474034,2879.0079283310324,28.068560869201164
brinjal,80,15,40,6.36443013173379,824.0380514241873,29.087062261543153
pineapple,160,40,120,6.5387835935587475,2699.42818481754,27.468438498196598
papaya,50,50,50,5.850554890364731,496.44146905240075,28.773965462525084
sweetpotato,90,20,120,5.14,579.75,34.01
jowar,80,40,40,5.677978438238214,501.16530809215124,32.73562780107032
coriander,10,20,20,6.6,1603.2375,22.89090909
potato,180,60,90,5.08,1110.78,25.66666667
jowar,80,40,40,5.5,70.11,25.6
pineapple,160,40,120,6.54640749234825,1588.55861558267,26.524543217595202
grapes,20,125,200,4.023656877493503,701.8905021167739,25.600812722114934
garlic,50,10,60,5.420175766213307,1363.888040676628,26.706261646453054
cardamom,75,75,150,5.14473226057425,976.7593137574539,27.56451882772578
cotton,120,40,20,5.653158589751706,226.22263119694662,21.10057015698557
jackfruit,75,40,50,5.035923168885596,2860.1872295980475,27.975295433454146
jackfruit,75,40,50,4.848561381812804,1503.9705818604878,26.103783841479004
banana,100,75,50,6.336441980352144,2177.5345073412022,23.287961055858638
bottlegourd,100,50,50,6.524978545229539,885.532680866077,27.800487219541658
bottlegourd,100,50,50,6.500702140079662,1029.7249780839836,28.225802004620554
jute,80,40,40,5.56,1543.76,27.33333333
papaya,50,50,50,5.9630003687686335,1148.964956706563,28.130556212000226
pumpkin,80,50,30,5.536642201035346,881.8465,27.64246086185437
banana,100,75,50,6.691197267504743,946.9004917522418,28.24749094746139
jackfruit,75,40,50,5.0314237515628255,2611.5445083757695,27.975295433454146
coriander,10,20,20,6.47897322110902,493.0490899837703,28.35931448692284
cucumber,60,60,85,6.6053210531827435,954.7525377871037,28.9532236752593
drumstick,40,20,10,6.639847332259904,2915.939286330289,27.9100231422248
pumpkin,80,50,30,5.592313115317989,881.8465,27.663792189507003
grapes,20,125,200,4.1071266138460665,1057.3433478045647,28.539686909090484
cucumber,60,60,85,6.406914759581235,1032.6327450691886,28.135860364370977
jute,80,40,40,5.353240895593879,1198.1541559856785,28.19298827388548
cardamom,75,75,150,5.124130117886177,831.1563040443006,27.622946384757167
drumstick,40,20,10,6.415281200891661,872.5504585016464,27.657696360119047
coriander,10,20,20,6.567084962492555,816.4281657634438,27.987367528073772
blackpepper,100,60,50,5.062891938610356,1685.2602971896656,22.299986246198245
papaya,50,50,50,6.096882538007463,496.44146905240075,28.14613319301146
bottlegourd,100,50,50,6.552891411841092,1015.5505688882566,27.93889306442447
banana,100,75,50,6.4469103308114475,2131.028896672956,23.401939818777176
potato,180,60,90,4.94,1111.68,28.64818182
bottlegourd,100,50,50,6.341270700363386,930.6499645171747,28.818947607676083
jowar,80,40,40,5.68,607.48,26.36666667
cardamom,75,75,150,4.9028932690644345,967.0617830593419,27.150097319312234
sunflower,50,60,30,5.343588852927505,120.16493245086087,25.848295920482855
drumstick,40,20,10,6.524076007726293,1071.3601516711935,27.673183442912713
radish,25,100,50,5.861464450683812,1374.1799061697063,26.03767912079829
tomato,100,40,90,6.101961120312851,1353.437140664707,26.1963138522267
onion,120,60,65,5.88,770.44,28.68
coriander,10,20,20,6.6510506242472776,938.009581685506,28.11262530438645
cucumber,60,60,85,6.554851417856674,882.1673491591035,27.641479880517863
mango,20,20,30,4.8106037995777156,947.7818908889508,29.05236588217744
onion,120,60,65,6.174394939535808,1161.3041924249615,28.161178836276015
banana,100,75,50,6.691197267504743,1968.4037739832775,23.442680539297168
onion,120,60,65,6.06061450361644,1425.828751926797,26.82301851997253
brinjal,80,15,40,6.676117163781937,1744.653885294993,22.777204311291225
coriander,10,20,20,6.438968122152427,1642.5776840386384,23.299562499644495
ladyfinger,80,10,40,6.602818928357076,1104.466308453579,28.781893419064357
radish,25,100,50,6.002283005810024,881.5341942205687,27.739452189578262
jackfruit,75,40,50,5.1423471769501905,2833.794233909812,27.964307058986083
maize,80,40,20,5.577135593020743,540.0832252006076,29.657878674869114
orange,20,10,10,4.176405152950898,2084.173671808037,23.825021026159952
rice,80,40,40,5.34,810.26,29.95636364
onion,120,60,65,5.88,1299.26,26.51818182
jute,80,40,40,5.65896508085767,1194.752757027012,27.678832092018634
brinjal,80,15,40,6.5919639482166055,1081.9026897196468,27.705032463946097
rice,80,40,40,5.68,579.75,34.01
blackpepper,100,60,50,4.974816543097845,1050.709468291829,27.732072999011308
sweetpotato,90,20,120,5.12,1426.3,26.73636364
jute,80,40,40,5.331213347438446,1581.7920531643947,27.606689426724753
coriander,10,20,20,6.368662822354007,990.4489243270377,28.909585511957015
onion,120,60,65,6.16,1111.68,28.64818182
orange,20,10,10,4.13893667272753,1013.896708679456,29.201446356873966
cucumber,60,60,85,6.474576931617066,886.5383462101584,27.588905884950915
pineapple,160,40,120,6.6431680787441545,964.193003275571,19.292325453360196
soyabean,20,60,20,5.4757166120502925,1040.7892346425442,31.038470527605106
jowar,80,40,40,5.44,98.94,25.574
jute,80,40,40,5.397858246568403,1493.0666187749707,28.304410653256976
cauliflower,80,70,50,6.424540252858914,903.6225169746087,27.553514785312313
onion,120,60,65,6.12,2169.32,23.73636364
sweetpotato,90,20,120,5.0,2169.32,23.73636364
ladyfinger,80,10,40,6.585990237740666,846.3340216468877,27.670845234979407
maize,80,40,20,5.5,70.598,18.92
grapes,20,125,200,4.043089276434292,636.3315803967974,26.26630499034443
papaya,50,50,50,6.036835214238422,2299.5970373024875,23.34737601639398
mango,20,20,30,5.159673310774655,914.290678332873,29.133784066225573
grapes,20,125,200,4.142180672910779,1480.5496220077882,22.643540695424868
blackpepper,100,60,50,4.841732290619509,3359.1438409253456,26.48878546152289
cabbage,100,65,70,6.488961044392249,1077.3433854969012,28.508546945829153
bittergourd,60,10,20,6.455744822351743,799.9102023595366,27.828839707100364
bottlegourd,100,50,50,6.438185830276453,1048.193977195623,27.980135536311966
garlic,50,10,60,5.377704907809439,1130.2303998673744,28.348494425740668
grapes,20,125,200,4.0302943677926235,1159.9536122542631,28.38571049075204
soyabean,20,60,20,5.46,607.48,26.36666667
jackfruit,75,40,50,5.045616677393433,2888.6089962140895,27.927113042170586
papaya,50,50,50,6.160293129643414,1119.4858084462837,28.826650828982153
bottlegourd,100,50,50,6.341974998379516,1002.853035398161,28.101676209768495
pumpkin,80,50,30,5.328874453821148,887.1535,27.683874044254384
drumstick,40,20,10,6.670997325878167,2885.9957149136276,27.892053811742123
mango,20,20,30,4.9418235584322945,994.0393017006852,28.726979982671164
sweetpotato,90,20,120,5.062673697554197,524.0399447345408,34.32519717628489
drumstick,40,20,10,6.470637738648232,786.420713669711,27.641632367565578
orange,20,10,10,3.947409353177805,1004.7669174757121,27.250938093724912
garlic,50,10,60,5.469309223842622,1037.518110186158,28.638544010207266
orange,20,10,10,4.022489701019423,2220.858746577195,24.167877033610964
tomato,100,40,90,5.854502752845937,1575.709187457035,23.239358571351623
banana,100,75,50,6.4146342233736835,1648.2142003821336,22.559656753273003
cabbage,100,65,70,6.460632056869793,1026.5122665122208,28.192319720039052
jowar,80,40,40,5.42,199.2125,21.3
jowar,80,40,40,5.586662210274762,345.115459055434,27.03375136396977
brinjal,80,15,40,6.339512942988228,1014.6263397648692,28.01096477891909
cucumber,60,60,85,6.382058321732365,887.340516615108,27.696197500042935
radish,25,100,50,6.125704866802464,1307.4023202502076,26.137392058512386
drumstick,40,20,10,6.60274228823915,2740.6449630664574,27.91276199854825
cabbage,100,65,70,6.6056525368340795,1128.8050722233277,28.670983475960384
banana,100,75,50,6.44,1603.2375,22.89090909
sweetpotato,90,20,120,4.858710153615596,506.7114800883949,33.29358797406532
jackfruit,75,40,50,4.809360328276724,971.7376405744509,27.541376340330377
drumstick,40,20,10,6.3090026741218335,2654.388038674673,27.922003992434423
